district,state,lat,lon,flood_type
Nicobars,Andaman And Nicobar Islands,11.7401,92.7786,Coastal / river flood
North And Middle Andaman,Andaman And Nicobar Islands,11.844816,92.544322,Coastal / river flood
South Andamans,Andaman And Nicobar Islands,11.550823,92.67516,Coastal / river flood
Alluri Sitharama Raju,Andhra Pradesh,16.091405,79.876971,Coastal / river flood
Anakapalli,Andhra Pradesh,15.867751,79.48395,Coastal / river flood
Ananthapuramu,Andhra Pradesh,15.754397,79.9888,Coastal / river flood
Annamayya,Andhra Pradesh,16.231656,79.65459,Coastal / river flood
Bapatla,Andhra Pradesh,15.589141,79.571462,Coastal / river flood
Chittoor,Andhra Pradesh,13.215319,79.100032,Coastal / river flood
Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,15.958822,79.629134,Coastal / river flood
East Godavari,Andhra Pradesh,16.969397,82.236435,Coastal / river flood
Eluru,Andhra Pradesh,16.094106,79.797134,Coastal / river flood
Guntur,Andhra Pradesh,16.297356,80.447394,Coastal / river flood
Kakinada,Andhra Pradesh,15.856626,79.993837,Coastal / river flood
Krishna,Andhra Pradesh,16.189204,81.136184,Coastal / river flood
Kurnool,Andhra Pradesh,15.834985,78.041533,Coastal / river flood
Nandyal,Andhra Pradesh,16.147517,80.019606,Coastal / river flood
Ntr,Andhra Pradesh,15.930348,79.340381,Coastal / river flood
Palnadu,Andhra Pradesh,15.828047,79.824853,Coastal / river flood
Parvathipuram Manyam,Andhra Pradesh,16.067752,79.733239,Coastal / river flood
Prakasam,Andhra Pradesh,15.514451,80.048738,Coastal / river flood
Sri Potti Sriramulu Nellore,Andhra Pradesh,15.942268,79.963075,Coastal / river flood
Sri Sathya Sai,Andhra Pradesh,16.06203,79.52702,Coastal / river flood
Srikakulam,Andhra Pradesh,18.296866,83.891833,Coastal / river flood
Tirupati,Andhra Pradesh,16.198688,79.905,Coastal / river flood
Visakhapatnam,Andhra Pradesh,17.724253,83.305865,Coastal / river flood
Vizianagaram,Andhra Pradesh,18.124612,83.406912,Coastal / river flood
Anjaw,Arunachal Pradesh,27.894204,96.790213,Flash / glacial flood
Bichom,Arunachal Pradesh,28.072348,94.674787,Flash / glacial flood
Changlang,Arunachal Pradesh,27.087745,95.731123,Flash / glacial flood
Dibang Valley,Arunachal Pradesh,28.850861,95.871559,Flash / glacial flood
East Kameng,Arunachal Pradesh,27.333113,93.063248,Flash / glacial flood
East Siang,Arunachal Pradesh,28.065355,95.333325,Flash / glacial flood
Kamle,Arunachal Pradesh,28.017109,94.465993,Flash / glacial flood
Keyi Panyor,Arunachal Pradesh,28.186188,95.091411,Flash / glacial flood
Kra Daadi,Arunachal Pradesh,28.512911,94.457564,Flash / glacial flood
Kurung Kumey,Arunachal Pradesh,27.861258,93.499644,Flash / glacial flood
Leparada,Arunachal Pradesh,28.332278,94.832516,Flash / glacial flood
Lohit,Arunachal Pradesh,27.925439,96.166869,Flash / glacial flood
Longding,Arunachal Pradesh,28.081029,94.906305,Flash / glacial flood
Lower Dibang Valley,Arunachal Pradesh,28.1375,95.798781,Flash / glacial flood
Lower Siang,Arunachal Pradesh,27.9692,94.569297,Flash / glacial flood
Lower Subansiri,Arunachal Pradesh,27.5556,93.812343,Flash / glacial flood
Namsai,Arunachal Pradesh,28.386538,94.404041,Flash / glacial flood
Pakke Kessang,Arunachal Pradesh,27.842123,94.864608,Flash / glacial flood
Papum Pare,Arunachal Pradesh,27.101465,93.597901,Flash / glacial flood
Shi Yomi,Arunachal Pradesh,28.152494,94.587322,Flash / glacial flood
Siang,Arunachal Pradesh,28.160866,94.909006,Flash / glacial flood
Tawang,Arunachal Pradesh,27.587899,91.885444,Flash / glacial flood
Tirap,Arunachal Pradesh,26.991189,95.50663,Flash / glacial flood
Upper Siang,Arunachal Pradesh,28.613345,95.066152,Flash / glacial flood
Upper Subansiri,Arunachal Pradesh,28.029687,94.216858,Flash / glacial flood
Bajali,Assam,25.920994,93.172217,Riverine flood
Baksa,Assam,26.600219,92.955048,Riverine flood
Barpeta,Assam,26.318438,91.012313,Riverine flood
Biswanath,Assam,26.207361,93.092452,Riverine flood
Bongaigaon,Assam,26.502443,90.564968,Riverine flood
Cachar,Assam,24.820025,92.795038,Riverine flood
Charaideo,Assam,26.41358,93.08673,Riverine flood
Chirang,Assam,26.13675,92.649593,Riverine flood
Darrang,Assam,26.441811,92.033565,Riverine flood
Dhemaji,Assam,27.4844,94.594933,Riverine flood
Dhubri,Assam,26.019042,89.991086,Riverine flood
Dibrugarh,Assam,27.480193,94.912419,Riverine flood
Dima Hasao,Assam,26.253613,92.791948,Riverine flood
Goalpara,Assam,26.176465,90.631164,Riverine flood
Golaghat,Assam,26.509522,93.974001,Riverine flood
Hailakandi,Assam,24.709416,92.568191,Riverine flood
Hojai,Assam,26.149374,93.228118,Riverine flood
Jorhat,Assam,26.754666,94.218519,Riverine flood
Kamrup,Assam,26.181061,91.751916,Riverine flood
Kamrup Metropolitan,Assam,26.470836,93.232511,Riverine flood
Karbi Anglong,Assam,25.838215,93.446934,Riverine flood
Kokrajhar,Assam,26.40281,90.273819,Riverine flood
Lakhimpur,Assam,27.236148,94.105136,Riverine flood
Majuli,Assam,26.022095,92.800629,Riverine flood
Morigaon,Assam,26.255106,92.337553,Riverine flood
Nagaon,Assam,26.355771,92.686525,Riverine flood
Nalbari,Assam,26.444776,91.445234,Riverine flood
Sibsagar,Assam,26.524359,93.106138,Riverine flood
Sonitpur,Assam,26.623221,92.791733,Riverine flood
South Salmara Mancachar,Assam,26.154678,93.048466,Riverine flood
Sribhumi,Assam,26.341078,92.872094,Riverine flood
Tamulpur,Assam,26.019394,92.880466,Riverine flood
Tinsukia,Assam,27.49208,95.370027,Riverine flood
Araria,Bihar,26.137794,87.464469,Riverine flood
Arwal,Bihar,24.85445,85.482305,Riverine flood
Aurangabad,Bihar,24.749745,84.379225,Riverine flood
Banka,Bihar,24.880617,86.919712,Riverine flood
Begusarai,Bihar,25.409515,86.135757,Riverine flood
Bhagalpur,Bihar,25.239305,86.974522,Riverine flood
Bhojpur,Bihar,25.565465,84.677244,Riverine flood
Buxar,Bihar,25.571102,83.98059,Riverine flood
Darbhanga,Bihar,26.164221,85.910612,Riverine flood
Gaya,Bihar,24.79151,85.004475,Riverine flood
Gopalganj,Bihar,26.465323,84.444294,Riverine flood
Jamui,Bihar,24.925934,86.216344,Riverine flood
Jehanabad,Bihar,25.212198,84.982009,Riverine flood
Kaimur (Bhabua),Bihar,25.040295,83.602718,Riverine flood
Katihar,Bihar,25.537374,87.583497,Riverine flood
Khagaria,Bihar,25.508751,86.472735,Riverine flood
Kishanganj,Bihar,26.112966,87.9283,Riverine flood
Lakhisarai,Bihar,25.176411,86.090783,Riverine flood
Madhepura,Bihar,25.921099,86.792579,Riverine flood
Madhubani,Bihar,26.356596,86.070431,Riverine flood
Munger,Bihar,25.37403,86.47675,Riverine flood
Muzaffarpur,Bihar,26.117382,85.406908,Riverine flood
Nalanda,Bihar,25.194764,85.521417,Riverine flood
Nawada,Bihar,24.887955,85.543198,Riverine flood
Champaran,Bihar,26.804014,84.510335,Riverine flood
Patna,Bihar,25.603125,85.119195,Riverine flood
Purbi Champaran,Bihar,25.233071,85.134595,Riverine flood
Purnea,Bihar,25.777226,87.47066,Riverine flood
Rohtas,Bihar,24.92088,84.039698,Riverine flood
Saharsa,Bihar,25.872235,86.59889,Riverine flood
Samastipur,Bihar,25.846512,85.779185,Riverine flood
Saran,Bihar,25.777293,84.751385,Riverine flood
Sheikhpura,Bihar,25.147495,85.839471,Riverine flood
Sheohar,Bihar,26.514445,85.29636,Riverine flood
Sitamarhi,Bihar,26.59391,85.496766,Riverine flood
Chandigarh,Chandigarh,30.731928,76.785486,Urban / river flood
Balod,Chhattisgarh,21.532537,81.922374,Urban / river flood
Balodabazar-Bhatapara,Chhattisgarh,21.109495,81.62445,Urban / river flood
Balrampur-Ramanujganj,Chhattisgarh,21.235626,82.193277,Urban / river flood
Bastar,Chhattisgarh,21.558306,81.631483,Urban / river flood
Bemetara,Chhattisgarh,20.879081,81.848652,Urban / river flood
Bijapur,Chhattisgarh,21.363553,81.950953,Urban / river flood
Bilaspur,Chhattisgarh,22.074605,82.176189,Urban / river flood
Dakshin Bastar Dantewada,Chhattisgarh,21.15657,82.011648,Urban / river flood
Dhamtari,Chhattisgarh,20.703812,81.567596,Urban / river flood
Durg,Chhattisgarh,21.188278,81.275855,Urban / river flood
Gariyaband,Chhattisgarh,21.34255,82.154107,Urban / river flood
Gaurela-Pendra-Marwahi,Chhattisgarh,21.4437,81.580312,Urban / river flood
Janjgir-Champa,Chhattisgarh,22.003783,82.594618,Urban / river flood
Jashpur,Chhattisgarh,22.892329,84.158393,Urban / river flood
Kabeerdham,Chhattisgarh,21.232778,81.755234,Urban / river flood
Khairagarh-Chhuikhadan-Gandai,Chhattisgarh,21.225687,82.011752,Urban / river flood
Kondagaon,Chhattisgarh,21.447232,81.778368,Urban / river flood
Korba,Chhattisgarh,22.337193,82.715651,Urban / river flood
Korea,Chhattisgarh,21.418398,82.085382,Urban / river flood
Mahasamund,Chhattisgarh,21.09393,82.111104,Urban / river flood
Manendragarh-Chirmiri-Bharatpur(M C B),Chhattisgarh,21.016893,82.066991,Urban / river flood
Mohla-Manpur-Ambagarh Chouki,Chhattisgarh,21.642311,81.897912,Urban / river flood
Mungeli,Chhattisgarh,21.008464,81.571189,Urban / river flood
Narayanpur,Chhattisgarh,21.2787,81.9861,Urban / river flood
Raigarh,Chhattisgarh,21.908949,83.395958,Urban / river flood
Raipur,Chhattisgarh,21.227374,81.629069,Urban / river flood
Rajnandgaon,Chhattisgarh,21.089426,81.034625,Urban / river flood
Sakti,Chhattisgarh,21.233551,81.61005,Urban / river flood
Sarangarh-Bilaigarh,Chhattisgarh,21.120197,82.1149,Urban / river flood
Sukma,Chhattisgarh,21.597456,81.78069,Urban / river flood
Surajpur,Chhattisgarh,20.954941,81.697562,Urban / river flood
Central,Delhi,28.840908,77.478377,Urban / river flood
East,Delhi,28.750022,76.991634,Urban / river flood
New Delhi,Delhi,28.563622,77.168006,Urban / river flood
North,Delhi,28.885306,77.159634,Urban / river flood
North East,Delhi,28.5916,76.907644,Urban / river flood
North West,Delhi,28.647826,77.356337,Urban / river flood
Shahdara,Delhi,28.94575,76.933295,Urban / river flood
South,Delhi,28.376923,77.059426,Urban / river flood
South East,Delhi,28.938717,77.382106,Urban / river flood
South West,Delhi,28.721548,76.702881,Urban / river flood
West,Delhi,28.619247,77.187353,Urban / river flood
