district,state,year,flood_events,area_affected_ha,people_affected,damage_cr
Nicobars,Andaman And Nicobar Islands,2015,2,2682,4544,17
Nicobars,Andaman And Nicobar Islands,2016,1,4036,1821,78
Nicobars,Andaman And Nicobar Islands,2017,2,4192,3129,35
Nicobars,Andaman And Nicobar Islands,2018,2,722,3265,31
Nicobars,Andaman And Nicobar Islands,2019,0,4331,8677,33
Nicobars,Andaman And Nicobar Islands,2020,0,3606,9725,16
Nicobars,Andaman And Nicobar Islands,2021,1,3480,2799,80
Nicobars,Andaman And Nicobar Islands,2022,0,3035,3294,18
Nicobars,Andaman And Nicobar Islands,2023,1,569,7246,12
Nicobars,Andaman And Nicobar Islands,2024,1,4752,13587,29
North And Middle Andaman,Andaman And Nicobar Islands,2015,1,4734,7407,33
North And Middle Andaman,Andaman And Nicobar Islands,2016,0,2167,9008,96
North And Middle Andaman,Andaman And Nicobar Islands,2017,0,4109,2221,96
North And Middle Andaman,Andaman And Nicobar Islands,2018,1,4330,1587,10
North And Middle Andaman,Andaman And Nicobar Islands,2019,1,1224,12981,22
North And Middle Andaman,Andaman And Nicobar Islands,2020,2,4467,1822,76
North And Middle Andaman,Andaman And Nicobar Islands,2021,2,2849,1493,68
North And Middle Andaman,Andaman And Nicobar Islands,2022,1,2423,12296,77
North And Middle Andaman,Andaman And Nicobar Islands,2023,0,2593,2188,31
North And Middle Andaman,Andaman And Nicobar Islands,2024,0,1357,1926,84
South Andamans,Andaman And Nicobar Islands,2015,1,2391,11573,100
South Andamans,Andaman And Nicobar Islands,2016,1,4098,12660,38
South Andamans,Andaman And Nicobar Islands,2017,1,1913,5180,56
South Andamans,Andaman And Nicobar Islands,2018,0,3249,5492,100
South Andamans,Andaman And Nicobar Islands,2019,1,1213,9308,55
South Andamans,Andaman And Nicobar Islands,2020,2,3373,9350,35
South Andamans,Andaman And Nicobar Islands,2021,2,1315,5591,34
South Andamans,Andaman And Nicobar Islands,2022,1,1684,13002,80
South Andamans,Andaman And Nicobar Islands,2023,0,2357,13929,97
South Andamans,Andaman And Nicobar Islands,2024,1,4365,3650,80
Alluri Sitharama Raju,Andhra Pradesh,2015,5,6260,68329,135
Alluri Sitharama Raju,Andhra Pradesh,2016,5,9759,13739,211
Alluri Sitharama Raju,Andhra Pradesh,2017,4,6449,22350,286
Alluri Sitharama Raju,Andhra Pradesh,2018,5,10302,67088,174
Alluri Sitharama Raju,Andhra Pradesh,2019,2,7423,67290,344
Alluri Sitharama Raju,Andhra Pradesh,2020,3,11026,73370,309
Alluri Sitharama Raju,Andhra Pradesh,2021,1,14374,56336,398
Alluri Sitharama Raju,Andhra Pradesh,2022,4,14870,51244,242
Alluri Sitharama Raju,Andhra Pradesh,2023,2,8882,52981,380
Alluri Sitharama Raju,Andhra Pradesh,2024,3,8633,30741,148
Anakapalli,Andhra Pradesh,2015,5,10496,60967,378
Anakapalli,Andhra Pradesh,2016,1,19247,70541,366
Anakapalli,Andhra Pradesh,2017,4,17624,22453,62
Anakapalli,Andhra Pradesh,2018,2,16509,71517,166
Anakapalli,Andhra Pradesh,2019,1,10681,79194,244
Anakapalli,Andhra Pradesh,2020,4,11044,78619,74
Anakapalli,Andhra Pradesh,2021,2,10505,69826,274
Anakapalli,Andhra Pradesh,2022,2,5923,63327,94
Anakapalli,Andhra Pradesh,2023,1,6704,59918,79
Anakapalli,Andhra Pradesh,2024,4,9170,13395,346
Ananthapuramu,Andhra Pradesh,2015,1,16569,77563,387
Ananthapuramu,Andhra Pradesh,2016,5,13686,17270,93
Ananthapuramu,Andhra Pradesh,2017,3,14611,56559,356
Ananthapuramu,Andhra Pradesh,2018,3,9408,77587,306
Ananthapuramu,Andhra Pradesh,2019,4,13316,23485,291
Ananthapuramu,Andhra Pradesh,2020,3,12990,35503,76
Ananthapuramu,Andhra Pradesh,2021,2,18970,64951,122
Ananthapuramu,Andhra Pradesh,2022,4,3983,35465,205
Ananthapuramu,Andhra Pradesh,2023,3,10107,37351,396
Ananthapuramu,Andhra Pradesh,2024,3,19898,69359,68
Annamayya,Andhra Pradesh,2015,1,8369,66542,110
Annamayya,Andhra Pradesh,2016,2,16257,22903,253
Annamayya,Andhra Pradesh,2017,1,17278,29127,263
Annamayya,Andhra Pradesh,2018,5,6226,70120,64
Annamayya,Andhra Pradesh,2019,2,11282,20413,220
Annamayya,Andhra Pradesh,2020,3,12655,61540,167
Annamayya,Andhra Pradesh,2021,4,19642,26369,54
Annamayya,Andhra Pradesh,2022,5,5872,71087,336
Annamayya,Andhra Pradesh,2023,1,10276,37470,130
Annamayya,Andhra Pradesh,2024,5,6396,60075,274
Bapatla,Andhra Pradesh,2015,3,17616,65452,192
Bapatla,Andhra Pradesh,2016,1,12625,37014,345
Bapatla,Andhra Pradesh,2017,5,18037,32561,64
Bapatla,Andhra Pradesh,2018,2,17712,36172,310
Bapatla,Andhra Pradesh,2019,3,4158,14986,214
Bapatla,Andhra Pradesh,2020,2,6583,15727,281
Bapatla,Andhra Pradesh,2021,1,15840,63519,52
Bapatla,Andhra Pradesh,2022,5,18573,60717,100
Bapatla,Andhra Pradesh,2023,5,11951,12272,180
Bapatla,Andhra Pradesh,2024,2,15314,39571,161
Chittoor,Andhra Pradesh,2015,2,5664,57708,163
Chittoor,Andhra Pradesh,2016,3,19175,67956,337
Chittoor,Andhra Pradesh,2017,1,18519,45737,76
Chittoor,Andhra Pradesh,2018,3,8917,23284,158
Chittoor,Andhra Pradesh,2019,2,8202,11164,117
Chittoor,Andhra Pradesh,2020,5,3706,52916,259
Chittoor,Andhra Pradesh,2021,1,16061,56830,344
Chittoor,Andhra Pradesh,2022,5,10948,20378,79
Chittoor,Andhra Pradesh,2023,3,11582,64493,385
Chittoor,Andhra Pradesh,2024,2,16129,25950,261
Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,2015,2,6787,32106,214
Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,2016,4,6273,46527,195
Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,2017,1,14707,32639,225
Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,2018,4,3179,36569,375
Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,2019,2,7041,74857,76
Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,2020,3,9003,49679,95
Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,2021,5,18341,37861,255
Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,2022,2,8792,19149,58
Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,2023,1,11213,50017,275
Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,2024,4,4462,23066,135
East Godavari,Andhra Pradesh,2015,3,6069,24576,208
East Godavari,Andhra Pradesh,2016,5,19025,64666,370
East Godavari,Andhra Pradesh,2017,3,8186,72042,348
East Godavari,Andhra Pradesh,2018,1,3404,34217,253
East Godavari,Andhra Pradesh,2019,1,15548,31819,189
East Godavari,Andhra Pradesh,2020,2,18810,24982,307
East Godavari,Andhra Pradesh,2021,5,7652,40606,71
East Godavari,Andhra Pradesh,2022,1,14544,49351,254
East Godavari,Andhra Pradesh,2023,3,10462,43729,232
East Godavari,Andhra Pradesh,2024,2,18419,55346,334
Eluru,Andhra Pradesh,2015,2,17242,74875,101
Eluru,Andhra Pradesh,2016,1,14857,41472,290
Eluru,Andhra Pradesh,2017,5,7979,67209,88
Eluru,Andhra Pradesh,2018,1,18651,19029,77
Eluru,Andhra Pradesh,2019,5,17540,72314,142
Eluru,Andhra Pradesh,2020,3,16531,73842,206
Eluru,Andhra Pradesh,2021,5,9662,29204,116
Eluru,Andhra Pradesh,2022,1,11746,63333,163
Eluru,Andhra Pradesh,2023,2,4023,35390,297
Eluru,Andhra Pradesh,2024,2,8187,76794,382
Guntur,Andhra Pradesh,2015,1,11782,15799,125
Guntur,Andhra Pradesh,2016,5,14480,56655,300
Guntur,Andhra Pradesh,2017,5,15002,40886,131
Guntur,Andhra Pradesh,2018,3,12665,77267,223
Guntur,Andhra Pradesh,2019,2,7522,66926,363
Guntur,Andhra Pradesh,2020,4,8309,73898,187
Guntur,Andhra Pradesh,2021,4,5182,64544,139
Guntur,Andhra Pradesh,2022,1,15968,26069,147
Guntur,Andhra Pradesh,2023,4,6252,78987,372
Guntur,Andhra Pradesh,2024,5,3129,63271,118
Kakinada,Andhra Pradesh,2015,1,12392,63137,237
Kakinada,Andhra Pradesh,2016,5,18019,79628,308
Kakinada,Andhra Pradesh,2017,4,5309,60313,345
Kakinada,Andhra Pradesh,2018,4,4337,76875,112
Kakinada,Andhra Pradesh,2019,4,10064,75515,160
Kakinada,Andhra Pradesh,2020,4,4979,37177,147
Kakinada,Andhra Pradesh,2021,3,10391,44455,123
Kakinada,Andhra Pradesh,2022,3,19458,23672,350
Kakinada,Andhra Pradesh,2023,5,18208,34343,298
Kakinada,Andhra Pradesh,2024,3,17432,20173,131
Krishna,Andhra Pradesh,2015,3,19429,72224,334
Krishna,Andhra Pradesh,2016,2,16539,57600,156
Krishna,Andhra Pradesh,2017,2,17757,52258,121
Krishna,Andhra Pradesh,2018,4,15135,76768,153
Krishna,Andhra Pradesh,2019,5,11870,32828,260
Krishna,Andhra Pradesh,2020,5,18061,77629,238
Krishna,Andhra Pradesh,2021,1,3962,64727,228
Krishna,Andhra Pradesh,2022,4,11228,28912,278
Krishna,Andhra Pradesh,2023,2,18079,59639,366
Krishna,Andhra Pradesh,2024,3,4797,56335,97
Kurnool,Andhra Pradesh,2015,2,5293,35767,322
Kurnool,Andhra Pradesh,2016,4,5914,38575,74
Kurnool,Andhra Pradesh,2017,3,15724,68166,329
Kurnool,Andhra Pradesh,2018,5,19865,18984,238
Kurnool,Andhra Pradesh,2019,4,19031,48616,373
Kurnool,Andhra Pradesh,2020,4,5763,65391,150
Kurnool,Andhra Pradesh,2021,3,5741,51922,336
Kurnool,Andhra Pradesh,2022,3,11165,10368,277
Kurnool,Andhra Pradesh,2023,4,6201,66100,170
Kurnool,Andhra Pradesh,2024,1,9939,20456,125
Nandyal,Andhra Pradesh,2015,1,16340,15173,109
Nandyal,Andhra Pradesh,2016,4,6133,61284,378
Nandyal,Andhra Pradesh,2017,3,15610,20272,386
Nandyal,Andhra Pradesh,2018,4,9096,14536,341
Nandyal,Andhra Pradesh,2019,4,16328,59706,272
Nandyal,Andhra Pradesh,2020,1,6315,52304,327
Nandyal,Andhra Pradesh,2021,5,18974,29113,302
Nandyal,Andhra Pradesh,2022,1,8257,30630,395
Nandyal,Andhra Pradesh,2023,1,18635,34510,113
Nandyal,Andhra Pradesh,2024,2,13042,42106,130
Ntr,Andhra Pradesh,2015,1,16378,33054,366
Ntr,Andhra Pradesh,2016,3,13993,18101,65
Ntr,Andhra Pradesh,2017,3,11400,66004,216
Ntr,Andhra Pradesh,2018,2,8421,55450,115
Ntr,Andhra Pradesh,2019,3,3475,28322,78
Ntr,Andhra Pradesh,2020,1,6232,54568,179
Ntr,Andhra Pradesh,2021,5,15589,11729,136
Ntr,Andhra Pradesh,2022,1,9622,26019,399
Ntr,Andhra Pradesh,2023,5,16056,49317,205
Ntr,Andhra Pradesh,2024,4,19283,18147,102
