date,district,rainfall_mm,river_level_m,temperature_c,humidity_pct,elevation_m,ndvi,soil_moisture,days_since_last_flood,flood_occurred,flood_severity
2019-01-01,Barpeta,0.0,5.24,16.9,49.3,35.9,0.278,0.338,181,0,0
2019-01-01,Dhubri,0.0,5.65,18.4,42.5,28.4,0.336,0.314,181,0,0
2019-01-01,Dibrugarh,0.0,4.39,20.3,55.8,107.8,0.51,0.245,181,0,0
2019-01-01,Guwahati,1.5,4.82,22.6,52.7,54.9,0.558,0.364,181,0,0
2019-01-01,Jorhat,0.0,3.93,9.9,65.6,86.4,0.317,0.4,181,0,0
2019-01-01,Lakhimpur,0.0,4.19,19.7,53.4,102.2,0.45,0.27,181,0,0
2019-01-01,Nagaon,4.2,3.82,19.0,83.3,60.2,0.557,0.403,181,0,0
2019-01-01,Silchar,0.0,5.47,17.5,53.9,22.0,0.356,0.272,181,0,0
2019-01-01,Sivasagar,0.0,3.92,20.2,60.5,94.2,0.531,0.357,181,0,0
2019-01-01,Tezpur,2.5,5.02,16.7,53.2,48.5,0.402,0.231,181,0,0
2019-01-02,Barpeta,9.4,6.37,24.1,64.4,34.5,0.279,0.256,182,0,0
2019-01-02,Dhubri,0.0,5.39,21.1,68.1,28.6,0.387,0.337,182,0,0
2019-01-02,Dibrugarh,4.0,4.58,15.1,50.5,108.1,,0.262,182,0,0
2019-01-02,Guwahati,11.5,4.6,16.4,49.3,54.5,0.139,0.399,182,0,0
2019-01-02,Jorhat,0.0,3.92,15.0,66.6,85.9,0.452,0.333,182,0,0
2019-01-02,Lakhimpur,0.0,4.33,12.2,69.7,101.4,0.367,0.363,182,0,0
2019-01-02,Nagaon,0.0,4.8,12.9,40.7,60.0,0.504,0.246,182,0,0
2019-01-02,Silchar,0.5,4.97,17.8,50.3,21.6,0.504,0.372,182,0,0
2019-01-02,Sivasagar,0.0,3.63,13.7,56.2,95.6,0.318,0.353,182,0,0
2019-01-02,Tezpur,3.0,4.91,20.1,46.0,48.2,0.238,0.225,182,0,0
2019-01-03,Barpeta,0.0,4.91,18.5,67.6,34.6,0.471,0.25,183,0,0
2019-01-03,Dhubri,2.3,4.64,18.7,51.0,27.9,0.44,0.387,183,0,0
2019-01-03,Dibrugarh,0.0,4.01,23.1,56.7,107.7,0.414,0.499,183,0,0
2019-01-03,Guwahati,0.0,4.33,13.8,69.7,54.9,0.407,0.186,183,0,0
2019-01-03,Jorhat,0.0,4.2,15.9,59.1,85.6,0.511,0.342,183,0,0
2019-01-03,Lakhimpur,0.0,4.26,17.2,57.8,102.4,0.451,0.452,183,0,0
2019-01-03,Nagaon,0.0,5.12,17.2,58.2,60.6,0.315,0.389,183,0,0
2019-01-03,Silchar,0.0,5.13,15.2,60.1,22.1,0.299,0.287,183,0,0
2019-01-03,Sivasagar,0.0,4.51,14.5,63.3,95.0,0.511,0.387,0,1,2
2019-01-03,Tezpur,0.0,4.3,18.1,51.8,47.4,0.375,0.403,183,0,0
2019-01-04,Barpeta,0.0,5.33,18.7,34.5,35.3,0.592,0.261,184,0,0
2019-01-04,Dhubri,0.0,5.73,21.3,48.8,27.2,0.502,0.392,184,0,0
2019-01-04,Dibrugarh,0.0,4.29,14.7,59.7,108.0,0.423,0.232,184,0,0
2019-01-04,Guwahati,0.0,4.42,20.8,57.9,54.7,0.298,0.287,184,0,0
2019-01-04,Jorhat,4.7,4.3,19.9,46.2,86.9,0.493,0.386,184,0,0
2019-01-04,Lakhimpur,0.0,4.27,16.5,55.1,102.6,0.389,0.347,184,0,0
2019-01-04,Nagaon,0.0,5.13,17.7,72.5,60.2,0.483,0.064,184,0,0
2019-01-04,Silchar,0.0,5.18,21.3,58.8,21.1,0.485,0.322,184,0,0
2019-01-04,Sivasagar,0.0,3.57,14.7,66.7,94.1,0.448,0.318,1,0,0
2019-01-04,Tezpur,0.0,5.16,22.5,58.9,48.5,0.406,0.386,184,0,0
2019-01-05,Barpeta,0.0,5.58,14.8,58.6,33.3,0.488,0.316,185,0,0
2019-01-05,Dhubri,0.0,5.05,16.2,47.8,28.8,0.272,0.315,185,0,0
2019-01-05,Dibrugarh,0.0,4.42,17.6,55.4,108.3,0.446,0.286,185,0,0
